date,market_index
2025-01-01,0.9612236111111111
2025-01-02,0.9866058433734939
2025-01-03,0.9403389743589744
2025-01-04,0.8577020129870129
2025-01-05,0.8018548026315789
2025-01-06,0.8133395808383234
2025-01-07,0.8881231250000001
2025-01-08,0.9730303723404256
2025-01-09,1.0009267808219178
2025-01-10,0.9569756976744186
2025-01-11,0.8717667532467532
2025-01-12,0.8097041935483871
2025-01-13,0.827929125
2025-01-14,0.9069495731707318
2025-01-15,0.98995
2025-01-16,1.0182952027027028
2025-01-17,0.974304193548387
2025-01-18,0.8879769565217391
2025-01-19,0.8294692763157895
2025-01-20,0.8442907333333333
2025-01-21,0.9189680379746835
2025-01-22,1.0061275
2025-01-23,1.0348566863905326
2025-01-24,0.9873224844720497
2025-01-25,0.9077049668874172
2025-01-26,0.852478963414634
2025-01-27,0.8618723841059602
2025-01-28,0.9403245833333332
2025-01-29,1.024901
2025-01-30,1.0527880597014925
2025-01-31,1.0058378106508876
2025-02-01,0.9248978947368421
2025-02-02,0.8728487647058824
2025-02-03,0.8826178612716763
2025-02-04,0.9565088311688311
2025-02-05,1.0409096951219512
2025-02-06,1.0715222151898733
2025-02-07,1.0313907284768213
2025-02-08,0.9438786274509804
2025-02-09,0.8827173548387097
2025-02-10,0.8990421341463415
2025-02-11,0.9805745098039215
2025-02-12,1.0622909154929578
2025-02-13,1.0930894701986755
2025-02-14,1.0434353793103448
2025-02-15,0.9644474496644296
2025-02-16,0.9057610559006211
2025-02-17,0.9176634868421052
2025-02-18,0.9977486842105264
2025-02-19,1.0806098
2025-02-20,1.1152261635220124
2025-02-21,1.0687034756097562
2025-02-22,0.9858628395061728
2025-02-23,0.9247710067114093
2025-02-24,0.9411387417218543
2025-02-25,1.0182962337662338
2025-02-26,1.102108940397351
2025-02-27,1.130627320261438
2025-02-28,1.0876865986394557
2025-03-01,1.0043419620253164
2025-03-02,0.9469267241379311
2025-03-03,0.9595448255813953
2025-03-04,1.0379200694444444
2025-03-05,1.119987880794702
2025-03-06,1.1552193670886077
2025-03-07,1.1061723668639054
2025-03-08,1.0246662721893491
2025-03-09,0.9668654545454546
2025-03-10,0.9834438125
2025-03-11,1.0555878145695363
2025-03-12,1.140451472392638
2025-03-13,1.1725420394736843
2025-03-14,1.1286800000000001
2025-03-15,1.042873774834437
2025-03-16,0.9863267924528303
2025-03-17,1.0014117283950617
2025-03-18,1.0759074193548386
2025-03-19,1.161461975308642
2025-03-20,1.1936043930635838
2025-03-21,1.1500765671641793
2025-03-22,1.062883806451613
2025-03-23,1.0020531847133758
2025-03-24,1.019994484848485
2025-03-25,1.0964504705882352
2025-03-26,1.1803380239520957
2025-03-27,1.209977192982456
2025-03-28,1.167249044117647
2025-03-29,1.076605054347826
2025-03-30,1.0224123076923077
2025-03-31,1.034738864864865
2025-04-01,1.11575387283237
2025-04-02,1.197686393442623
2025-04-03,1.2265092168674698
2025-04-04,1.1824657718120806
2025-04-05,1.0973992024539878
2025-04-06,1.039251329113924
2025-04-07,1.0521484210526315
2025-04-08,1.127641130952381
2025-04-09,1.2141938666666665
2025-04-10,1.246971642857143
2025-04-11,1.1992536419753086
2025-04-12,1.1118008666666666
2025-04-13,1.0515462068965518
2025-04-14,1.0621461904761904
2025-04-15,1.1418442168674698
2025-04-16,1.3357232727272728
2025-04-17,1.3645790303030303
2025-04-18,1.3169196296296297
2025-04-19,1.2330833548387097
2025-04-20,1.1759431547619048
2025-04-21,1.1928851933701656
2025-04-22,1.2646985106382977
2025-04-23,1.3461058666666665
2025-04-24,1.3708696268656717
2025-04-25,1.3304425
2025-04-26,1.2457616568047336
2025-04-27,1.1820884768211921
2025-04-28,1.2013216463414633
2025-04-29,1.2728138505747126
2025-04-30,1.358148157894737
2025-05-01,1.384212588235294
2025-05-02,1.3397662790697673
2025-05-03,1.2574786
2025-05-04,1.1964444966442953
2025-05-05,1.2041612666666666
2025-05-06,1.2820425316455697
2025-05-07,1.362827118644068
2025-05-08,1.3963236486486488
2025-05-09,1.3460222839506173
2025-05-10,1.2571560294117647
2025-05-11,1.200645945945946
2025-05-12,1.2134105925925927
2025-05-13,1.2879028301886792
2025-05-14,1.3700560689655172
2025-05-15,1.400823
2025-05-16,1.3453779881656804
2025-05-17,1.2644168
2025-05-18,1.206143024691358
2025-05-19,1.21405375
2025-05-20,1.2930133557046979
2025-05-21,1.3704371515151514
2025-05-22,1.4015922818791946
2025-05-23,1.3537236666666665
2025-05-24,1.2640845864661656
2025-05-25,1.2064867857142858
2025-05-26,1.2147729411764707
2025-05-27,1.291223660130719
